# wall, TRB ch. (r/d PMT), TRB ch. (l/u PMT), layer, module number in this layer, TDC, TRB
0,0,32,0,0,0,1
0,1,33,0,1,0,1
0,2,34,0,2,0,1
0,3,35,0,3,0,1
0,4,36,0,4,0,1
0,5,37,0,5,0,1
0,6,38,0,6,0,1
0,7,39,0,7,0,1
0,8,16,0,8,0,1
0,9,17,0,9,0,1
0,10,18,0,10,0,1
0,11,19,0,11,0,1
0,12,20,0,12,0,1
0,13,21,0,13,0,1
0,14,22,0,14,0,1
0,15,23,0,15,0,1
0,40,24,0,16,0,1
0,41,25,0,17,0,1
0,42,26,0,18,0,1
0,43,27,0,19,0,1
0,44,28,0,20,0,1
0,45,29,0,21,0,1
0,46,30,0,22,0,1
0,47,31,0,23,0,1

0,0,32,1,0,0,2
0,1,33,1,1,0,2
0,2,34,1,2,0,2
0,3,35,1,3,0,2
0,4,36,1,4,0,2
0,5,37,1,5,0,2
0,6,38,1,6,0,2
0,7,39,1,7,0,2
0,8,16,1,8,0,2
0,9,17,1,9,0,2
0,10,18,1,10,0,2
0,11,19,1,11,0,2
0,12,20,1,12,0,2
0,13,21,1,13,0,2
0,14,22,1,14,0,2
0,15,23,1,15,0,2
0,40,24,1,16,0,2
0,41,25,1,17,0,2
0,42,26,1,18,0,2
0,43,27,1,19,0,2
0,44,28,1,20,0,2
0,45,29,1,21,0,2
0,46,30,1,22,0,2
0,47,31,1,23,0,2

0,0,32,2,0,1,1
0,1,33,2,1,1,1
0,2,34,2,2,1,1
0,3,35,2,3,1,1
0,4,36,2,4,1,1
0,5,37,2,5,1,1
0,6,38,2,6,1,1
0,7,39,2,7,1,1
0,8,16,2,8,1,1
0,9,17,2,9,1,1
0,10,18,2,10,1,1
0,11,19,2,11,1,1
0,12,20,2,12,1,1
0,13,21,2,13,1,1
0,14,22,2,14,1,1
0,15,23,2,15,1,1
0,40,24,2,16,1,1
0,41,25,2,17,1,1
0,42,26,2,18,1,1
0,43,27,2,19,1,1
0,44,28,2,20,1,1
0,45,29,2,21,1,1
0,46,30,2,22,1,1
0,47,31,2,23,1,1

0,0,32,3,0,1,2
0,1,33,3,1,1,2
0,2,34,3,2,1,2
0,3,35,3,3,1,2
0,4,36,3,4,1,2
0,5,37,3,5,1,2
0,6,38,3,6,1,2
0,7,39,3,7,1,2
0,8,16,3,8,1,2
0,9,17,3,9,1,2
0,10,18,3,10,1,2
0,11,19,3,11,1,2
0,12,20,3,12,1,2
0,13,21,3,13,1,2
0,14,22,3,14,1,2
0,15,23,3,15,1,2
0,40,24,3,16,1,2
0,41,25,3,17,1,2
0,42,26,3,18,1,2
0,43,27,3,19,1,2
0,44,28,3,20,1,2
0,45,29,3,21,1,2
0,46,30,3,22,1,2
0,47,31,3,23,1,2

0,0,32,4,0,2,1
0,1,33,4,1,2,1
0,2,34,4,2,2,1
0,3,35,4,3,2,1
0,4,36,4,4,2,1
0,5,37,4,5,2,1
0,6,38,4,6,2,1
0,7,39,4,7,2,1
0,8,16,4,8,2,1
0,9,17,4,9,2,1
0,10,18,4,10,2,1
0,11,19,4,11,2,1
0,12,20,4,12,2,1
0,13,21,4,13,2,1
0,14,22,4,14,2,1
0,15,23,4,15,2,1
0,40,24,4,16,2,1
0,41,25,4,17,2,1
0,42,26,4,18,2,1
0,43,27,4,19,2,1
0,44,28,4,20,2,1
0,45,29,4,21,2,1
0,46,30,4,22,2,1
0,47,31,4,23,2,1

0,0,32,5,0,2,2
0,1,33,5,1,2,2
0,2,34,5,2,2,2
0,3,35,5,3,2,2
0,4,36,5,4,2,2
0,5,37,5,5,2,2
0,6,38,5,6,2,2
0,7,39,5,7,2,2
0,8,16,5,8,2,2
0,9,17,5,9,2,2
0,10,18,5,10,2,2
0,11,19,5,11,2,2
0,12,20,5,12,2,2
0,13,21,5,13,2,2
0,14,22,5,14,2,2
0,15,23,5,15,2,2
0,40,24,5,16,2,2
0,41,25,5,17,2,2
0,42,26,5,18,2,2
0,43,27,5,19,2,2
0,44,28,5,20,2,2
0,45,29,5,21,2,2
0,46,30,5,22,2,2
0,47,31,5,23,2,2

0,0,32,6,0,3,2
0,1,33,6,1,3,2
0,2,34,6,2,3,2
0,3,35,6,3,3,2
0,4,36,6,4,3,2
0,5,37,6,5,3,2
0,6,38,6,6,3,2
0,7,39,6,7,3,2
0,8,16,6,8,3,2
0,9,17,6,9,3,2
0,10,18,6,10,3,2
0,11,19,6,11,3,2
0,12,20,6,12,3,2
0,13,21,6,13,3,2
0,14,22,6,14,3,2
0,15,23,6,15,3,2
0,40,24,6,16,3,2
0,41,25,6,17,3,2
0,42,26,6,18,3,2
0,43,27,6,19,3,2
0,44,28,6,20,3,2
0,45,29,6,21,3,2
0,46,30,6,22,3,2
0,47,31,6,23,3,2

0,0,32,7,0,0,3
0,1,33,7,1,0,3
0,2,34,7,2,0,3
0,3,35,7,3,0,3
0,4,36,7,4,0,3
0,5,37,7,5,0,3
0,6,38,7,6,0,3
0,7,39,7,7,0,3
0,8,16,7,8,0,3
0,9,17,7,9,0,3
0,10,18,7,10,0,3
0,11,19,7,11,0,3
0,12,20,7,12,0,3
0,13,21,7,13,0,3
0,14,22,7,14,0,3
0,15,23,7,15,0,3
0,40,24,7,16,0,3
0,41,25,7,17,0,3
0,42,26,7,18,0,3
0,43,27,7,19,0,3
0,44,28,7,20,0,3
0,45,29,7,21,0,3
0,46,30,7,22,0,3
0,47,31,7,23,0,3

0,0,32,8,0,3,1
0,1,33,8,1,3,1
0,2,34,8,2,3,1
0,3,35,8,3,3,1
0,4,36,8,4,3,1
0,5,37,8,5,3,1
0,6,38,8,6,3,1
0,7,39,8,7,3,1
0,8,16,8,8,3,1
0,9,17,8,9,3,1
0,10,18,8,10,3,1
0,11,19,8,11,3,1
0,12,20,8,12,3,1
0,13,21,8,13,3,1
0,14,22,8,14,3,1
0,15,23,8,15,3,1
0,40,24,8,16,3,1
0,41,25,8,17,3,1
0,42,26,8,18,3,1
0,43,27,8,19,3,1
0,44,28,8,20,3,1
0,45,29,8,21,3,1
0,46,30,8,22,3,1
0,47,31,8,23,3,1

0,0,32,9,0,1,3
0,1,33,9,1,1,3
0,2,34,9,2,1,3
0,3,35,9,3,1,3
0,4,36,9,4,1,3
0,5,37,9,5,1,3
0,6,38,9,6,1,3
0,7,39,9,7,1,3
0,8,16,9,8,1,3
0,9,17,9,9,1,3
0,10,18,9,10,1,3
0,11,19,9,11,1,3
0,12,20,9,12,1,3
0,13,21,9,13,1,3
0,14,22,9,14,1,3
0,15,23,9,15,1,3
0,40,24,9,16,1,3
0,41,25,9,17,1,3
0,42,26,9,18,1,3
0,43,27,9,19,1,3
0,44,28,9,20,1,3
0,45,29,9,21,1,3
0,46,30,9,22,1,3
0,47,31,9,23,1,3

0,0,32,10,0,2,3
0,1,33,10,1,2,3
0,2,34,10,2,2,3
0,3,35,10,3,2,3
0,4,36,10,4,2,3
0,5,37,10,5,2,3
0,6,38,10,6,2,3
0,7,39,10,7,2,3
0,8,16,10,8,2,3
0,9,17,10,9,2,3
0,10,18,10,10,2,3
0,11,19,10,11,2,3
0,12,20,10,12,2,3
0,13,21,10,13,2,3
0,14,22,10,14,2,3
0,15,23,10,15,2,3
0,40,24,10,16,2,3
0,41,25,10,17,2,3
0,42,26,10,18,2,3
0,43,27,10,19,2,3
0,44,28,10,20,2,3
0,45,29,10,21,2,3
0,46,30,10,22,2,3
0,47,31,10,23,2,3

0,0,32,11,0,3,3
0,1,33,11,1,3,3
0,2,34,11,2,3,3
0,3,35,11,3,3,3
0,4,36,11,4,3,3
0,5,37,11,5,3,3
0,6,38,11,6,3,3
0,7,39,11,7,3,3
0,8,16,11,8,3,3
0,9,17,11,9,3,3
0,10,18,11,10,3,3
0,11,19,11,11,3,3
0,12,20,11,12,3,3
0,13,21,11,13,3,3
0,14,22,11,14,3,3
0,15,23,11,15,3,3
0,40,24,11,16,3,3
0,41,25,11,17,3,3
0,42,26,11,18,3,3
0,43,27,11,19,3,3
0,44,28,11,20,3,3
0,45,29,11,21,3,3
0,46,30,11,22,3,3
0,47,31,11,23,3,3

#hime

1,8,0,0,0,0,1
1,9,1,0,1,0,1
1,10,2,0,2,0,1
1,11,3,0,3,0,1
1,12,4,0,4,0,1
1,13,5,0,5,0,1
1,14,6,0,6,0,1
1,15,7,0,7,0,1
1,24,16,0,8,0,1
1,25,17,0,9,0,1
1,26,18,0,10,0,1
1,27,19,0,11,0,1
1,28,20,0,12,0,1
1,29,21,0,13,0,1
1,30,22,0,14,0,1
1,31,23,0,15,0,1
1,40,32,0,16,0,1
1,41,33,0,17,0,1
1,42,34,0,18,0,1
1,43,35,0,19,0,1
1,44,36,0,20,0,1
1,45,37,0,21,0,1
1,46,38,0,22,0,1
1,47,39,0,23,0,1

1,8,0,1,0,1,1
1,9,1,1,1,1,1
1,10,2,1,2,1,1
1,11,3,1,3,1,1
1,12,4,1,4,1,1
1,13,5,1,5,1,1
1,14,6,1,6,1,1
1,15,7,1,7,1,1
1,24,16,1,8,1,1
1,25,17,1,9,1,1
1,26,18,1,10,1,1
1,27,19,1,11,1,1
1,28,20,1,12,1,1
1,29,21,1,13,1,1
1,30,22,1,14,1,1
1,31,23,1,15,1,1
1,40,32,1,16,1,1
1,41,33,1,17,1,1
1,42,34,1,18,1,1
1,43,35,1,19,1,1
1,44,36,1,20,1,1
1,45,37,1,21,1,1
1,46,38,1,22,1,1
1,47,39,1,23,1,1

1,8,0,2,0,2,1
1,9,1,2,1,2,1
1,10,2,2,2,2,1
1,11,3,2,3,2,1
1,12,4,2,4,2,1
1,13,5,2,5,2,1
1,14,6,2,6,2,1
1,15,7,2,7,2,1
1,24,16,2,8,2,1
1,25,17,2,9,2,1
1,26,18,2,10,2,1
1,27,19,2,11,2,1
1,28,20,2,12,2,1
1,29,21,2,13,2,1
1,30,22,2,14,2,1
1,31,23,2,15,2,1
1,40,32,2,16,2,1
1,41,33,2,17,2,1
1,42,34,2,18,2,1
1,43,35,2,19,2,1
1,44,36,2,20,2,1
1,45,37,2,21,2,1
1,46,38,2,22,2,1
1,47,39,2,23,2,1

1,8,0,3,0,3,1
1,9,1,3,1,3,1
1,10,2,3,2,3,1
1,11,3,3,3,3,1
1,12,4,3,4,3,1
1,13,5,3,5,3,1
1,14,6,3,6,3,1
1,15,7,3,7,3,1
1,24,16,3,8,3,1
1,25,17,3,9,3,1
1,26,18,3,10,3,1
1,27,19,3,11,3,1
1,28,20,3,12,3,1
1,29,21,3,13,3,1
1,30,22,3,14,3,1
1,31,23,3,15,3,1
1,40,32,3,16,3,1
1,41,33,3,17,3,1
1,42,34,3,18,3,1
1,43,35,3,19,3,1
1,44,36,3,20,3,1
1,45,37,3,21,3,1
1,46,38,3,22,3,1
1,47,39,3,23,3,1

