#moduleID; x; y; z; horizontal? 0 -> false, 1 -> true
0;-471.5;0;0;0
1;-430.5;0;0;0
2;-389.5;0;0;0
3;-348.5;0;0;0
4;-307.5;0;0;0
5;-266.5;0;0;0
6;-225.5;0;0;0
7;-184.5;0;0;0
8;-143.5;0;0;0
9;-102.5;0;0;0
10;-61.5;0;0;0
11;-20.5;0;0;0
12;20.5;0;0;0
13;61.5;0;0;0
14;102.5;0;0;0
15;143.5;0;0;0
16;184.5;0;0;0
17;225.5;0;0;0
18;266.5;0;0;0
19;307.5;0;0;0
20;348.5;0;0;0
21;389.5;0;0;0
22;430.5;0;0;0
23;471.5;0;0;0
24;0;-471.5;21;1
25;0;-430.5;21;1
26;0;-389.5;21;1
27;0;-348.5;21;1
28;0;-307.5;21;1
29;0;-266.5;21;1
30;0;-225.5;21;1
31;0;-184.5;21;1
32;0;-143.5;21;1
33;0;-102.5;21;1
34;0;-61.5;21;1
35;0;-20.5;21;1
36;0;20.5;21;1
37;0;61.5;21;1
38;0;102.5;21;1
39;0;143.5;21;1
40;0;184.5;21;1
41;0;225.5;21;1
42;0;266.5;21;1
43;0;307.5;21;1
44;0;348.5;21;1
45;0;389.5;21;1
46;0;430.5;21;1
47;0;471.5;21;1
48;-471.5;0;42;0
49;-430.5;0;42;0
50;-389.5;0;42;0
51;-348.5;0;42;0
52;-307.5;0;42;0
53;-266.5;0;42;0
54;-225.5;0;42;0
55;-184.5;0;42;0
56;-143.5;0;42;0
57;-102.5;0;42;0
58;-61.5;0;42;0
59;-20.5;0;42;0
60;20.5;0;42;0
61;61.5;0;42;0
62;102.5;0;42;0
63;143.5;0;42;0
64;184.5;0;42;0
65;225.5;0;42;0
66;266.5;0;42;0
67;307.5;0;42;0
68;348.5;0;42;0
69;389.5;0;42;0
70;430.5;0;42;0
71;471.5;0;42;0
72;0;-471.5;63;1
73;0;-430.5;63;1
74;0;-389.5;63;1
75;0;-348.5;63;1
76;0;-307.5;63;1
77;0;-266.5;63;1
78;0;-225.5;63;1
79;0;-184.5;63;1
80;0;-143.5;63;1
81;0;-102.5;63;1
82;0;-61.5;63;1
83;0;-20.5;63;1
84;0;20.5;63;1
85;0;61.5;63;1
86;0;102.5;63;1
87;0;143.5;63;1
88;0;184.5;63;1
89;0;225.5;63;1
90;0;266.5;63;1
91;0;307.5;63;1
92;0;348.5;63;1
93;0;389.5;63;1
94;0;430.5;63;1
95;0;471.5;63;1
96;-471.5;0;84;0
97;-430.5;0;84;0
98;-389.5;0;84;0
99;-348.5;0;84;0
100;-307.5;0;84;0
101;-266.5;0;84;0
102;-225.5;0;84;0
103;-184.5;0;84;0
104;-143.5;0;84;0
105;-102.5;0;84;0
106;-61.5;0;84;0
107;-20.5;0;84;0
108;20.5;0;84;0
109;61.5;0;84;0
110;102.5;0;84;0
111;143.5;0;84;0
112;184.5;0;84;0
113;225.5;0;84;0
114;266.5;0;84;0
115;307.5;0;84;0
116;348.5;0;84;0
117;389.5;0;84;0
118;430.5;0;84;0
119;471.5;0;84;0
120;0;-471.5;105;1
121;0;-430.5;105;1
122;0;-389.5;105;1
123;0;-348.5;105;1
124;0;-307.5;105;1
125;0;-266.5;105;1
126;0;-225.5;105;1
127;0;-184.5;105;1
128;0;-143.5;105;1
129;0;-102.5;105;1
130;0;-61.5;105;1
131;0;-20.5;105;1
132;0;20.5;105;1
133;0;61.5;105;1
134;0;102.5;105;1
135;0;143.5;105;1
136;0;184.5;105;1
137;0;225.5;105;1
138;0;266.5;105;1
139;0;307.5;105;1
140;0;348.5;105;1
141;0;389.5;105;1
142;0;430.5;105;1
143;0;471.5;105;1
144;-471.5;0;126;0
145;-430.5;0;126;0
146;-389.5;0;126;0
147;-348.5;0;126;0
148;-307.5;0;126;0
149;-266.5;0;126;0
150;-225.5;0;126;0
151;-184.5;0;126;0
152;-143.5;0;126;0
153;-102.5;0;126;0
154;-61.5;0;126;0
155;-20.5;0;126;0
156;20.5;0;126;0
157;61.5;0;126;0
158;102.5;0;126;0
159;143.5;0;126;0
160;184.5;0;126;0
161;225.5;0;126;0
162;266.5;0;126;0
163;307.5;0;126;0
164;348.5;0;126;0
165;389.5;0;126;0
166;430.5;0;126;0
167;471.5;0;126;0
168;0;-471.5;147;1
169;0;-430.5;147;1
170;0;-389.5;147;1
171;0;-348.5;147;1
172;0;-307.5;147;1
173;0;-266.5;147;1
174;0;-225.5;147;1
175;0;-184.5;147;1
176;0;-143.5;147;1
177;0;-102.5;147;1
178;0;-61.5;147;1
179;0;-20.5;147;1
180;0;20.5;147;1
181;0;61.5;147;1
182;0;102.5;147;1
183;0;143.5;147;1
184;0;184.5;147;1
185;0;225.5;147;1
186;0;266.5;147;1
187;0;307.5;147;1
188;0;348.5;147;1
189;0;389.5;147;1
190;0;430.5;147;1
191;0;471.5;147;1
192;-471.5;0;168;0
193;-430.5;0;168;0
194;-389.5;0;168;0
195;-348.5;0;168;0
196;-307.5;0;168;0
197;-266.5;0;168;0
198;-225.5;0;168;0
199;-184.5;0;168;0
200;-143.5;0;168;0
201;-102.5;0;168;0
202;-61.5;0;168;0
203;-20.5;0;168;0
204;20.5;0;168;0
205;61.5;0;168;0
206;102.5;0;168;0
207;143.5;0;168;0
208;184.5;0;168;0
209;225.5;0;168;0
210;266.5;0;168;0
211;307.5;0;168;0
212;348.5;0;168;0
213;389.5;0;168;0
214;430.5;0;168;0
215;471.5;0;168;0
216;0;-471.5;189;1
217;0;-430.5;189;1
218;0;-389.5;189;1
219;0;-348.5;189;1
220;0;-307.5;189;1
221;0;-266.5;189;1
222;0;-225.5;189;1
223;0;-184.5;189;1
224;0;-143.5;189;1
225;0;-102.5;189;1
226;0;-61.5;189;1
227;0;-20.5;189;1
228;0;20.5;189;1
229;0;61.5;189;1
230;0;102.5;189;1
231;0;143.5;189;1
232;0;184.5;189;1
233;0;225.5;189;1
234;0;266.5;189;1
235;0;307.5;189;1
236;0;348.5;189;1
237;0;389.5;189;1
238;0;430.5;189;1
239;0;471.5;189;1
240;-471.5;0;210;0
241;-430.5;0;210;0
242;-389.5;0;210;0
243;-348.5;0;210;0
244;-307.5;0;210;0
245;-266.5;0;210;0
246;-225.5;0;210;0
247;-184.5;0;210;0
248;-143.5;0;210;0
249;-102.5;0;210;0
250;-61.5;0;210;0
251;-20.5;0;210;0
252;20.5;0;210;0
253;61.5;0;210;0
254;102.5;0;210;0
255;143.5;0;210;0
256;184.5;0;210;0
257;225.5;0;210;0
258;266.5;0;210;0
259;307.5;0;210;0
260;348.5;0;210;0
261;389.5;0;210;0
262;430.5;0;210;0
263;471.5;0;210;0
264;0;-471.5;231;1
265;0;-430.5;231;1
266;0;-389.5;231;1
267;0;-348.5;231;1
268;0;-307.5;231;1
269;0;-266.5;231;1
270;0;-225.5;231;1
271;0;-184.5;231;1
272;0;-143.5;231;1
273;0;-102.5;231;1
274;0;-61.5;231;1
275;0;-20.5;231;1
276;0;20.5;231;1
277;0;61.5;231;1
278;0;102.5;231;1
279;0;143.5;231;1
280;0;184.5;231;1
281;0;225.5;231;1
282;0;266.5;231;1
283;0;307.5;231;1
284;0;348.5;231;1
285;0;389.5;231;1
286;0;430.5;231;1
287;0;471.5;231;1
