# module ID;threshold (MeV)
# layer 0
0;-1
1;-1
2;16.5
3;15
4;15.5
5;15
6;14.5
7;15.5
8;16.5
9;16.5
10;15.5
11;16
12;16
13;16.5
14;16.5
15;15.5
16;16.5
17;16
18;16
19;16.5
20;15.5
21;16.5
22;15.5
23;16
# layer 1
24;16
25;16.5
26;16.5
27;15.5
28;15
29;16
30;17
31;15.5
32;16.5
33;16
34;16
35;17
36;16.5
37;16
38;15
39;16
40;14
41;15
42;16
43;15.5
44;15.5
45;15.5
46;16.5
47;16.5
# layer 2
48;17
49;16.5
50;16
51;16.5
52;17.5
53;17.5
54;17
55;16
56;16.5
57;16
58;15.5
59;16.5
60;16
61;16.5
62;17.5
63;16
64;17
65;17.5
66;15.5
67;17
68;16.5
69;17
70;16.5
71;16.5
